year,location,percent_obese
2014,Guam,29.3
2012,District of Columbia,31.6
2011,Alabama,35.2
2015,Guam,33.7
2011,Rhode Island,32.1
2014,Guam,34.5
2015,Puerto Rico,29.5
2016,New York,25.9
2016,Rhode Island,20.1
2016,California,36.0
2016,Washington,29.1
2016,New Hampshire,26.6
2016,New Mexico,28.3
2012,New Jersey,25.0
2017,Hawaii,25.1
2015,Guam,25.0
2015,South Dakota,35.8
2016,New Hampshire,26.6
2016,Oklahoma,33.3
2016,Mississippi,41.9
2016,Kansas,30.5
2016,Florida,26.6
2016,Louisiana,36.6
2016,New Jersey,29.2
2017,Montana,27.2
2013,Puerto Rico,26.5
2019,District of Columbia,25.9
2015,Georgia,24.6
2014,Guam,24.6
2015,North Carolina,15.9
2016,Wyoming,37.0
2016,Colorado,26.9
2016,Virgin Islands,41.4
2016,Kentucky,34.3
2016,Guam,31.9
2016,Kansas,36.0
2016,Oklahoma,32.2
2016,North Dakota,32.2
2016,Montana,25.5
2014,Guam,28.9
2016,Texas,30.7
2016,Illinois,30.9
2016,Michigan,33.2
2016,Rhode Island,25.4
2016,Michigan,38.7
2016,Nevada,14.1
2016,Wisconsin,29.9
2013,Puerto Rico,28.7
2017,Guam,38.1
2014,Guam,32.5
2014,Guam,39.8
2020,Alabama,37.7
2016,Arizona,36.4
2016,Mississippi,39.8
2016,Virgin Islands,34.0
2016,Nebraska,35.9
2016,Kansas,32.9
2020,Georgia,33.3
2018,Iowa,38.0
2020,Massachusetts,32.6
2015,Puerto Rico,23.2
2016,Minnesota,29.2
2016,Georgia,23.6
2016,Iowa,38.3
2016,Illinois,11.5
2016,Arkansas,31.1
2016,District of Columbia,37.4
2016,Ohio,29.7
2016,Iowa,18.4
2016,Virgin Islands,32.5
2016,Tennessee,36.7
2016,Virginia,25.7
2016,California,23.3
2016,Minnesota,27.6
2016,Oregon,32.7
2017,Connecticut,26.4
2015,Guam,39.9
2013,Puerto Rico,33.8
2014,Alaska,17.8
2014,Guam,34.6
2018,Texas,33.5
2016,South Carolina,28.7
2016,Illinois,27.6
2016,North Carolina,33.4
2016,Texas,31.0
2016,Washington,33.5
2015,Guam,33.4
2020,Puerto Rico,32.6
2020,Nevada,36.4
2020,South Carolina,37.0
2020,South Carolina,34.9
2020,Wisconsin,31.4
2020,New Mexico,40.9
2020,New Mexico,34.9
2020,Nevada,4.4
2020,Oklahoma,34.9
2020,Alaska,31.9
2020,Oklahoma,42.7
2020,Wisconsin,16.7
2020,North Carolina,40.8
2020,Wyoming,39.9
2020,Maryland,33.5
2020,Ohio,38.6
2020,Georgia,43.0
2020,New Jersey,33.1
2020,Rhode Island,26.4
2020,Missouri,29.4
2015,Guam,26.4
2018,Nevada,41.3
2018,South Carolina,36.8
2018,South Carolina,35.0
2018,Wisconsin,31.4
2018,New Mexico,30.8
2018,New Mexico,39.1
2018,Nevada,14.8
2018,Oklahoma,34.0
2018,Alaska,29.5
2018,Oklahoma,38.0
2018,North Carolina,44.5
2018,Wyoming,39.9
2018,Maryland,30.0
2018,Ohio,36.4
2018,Georgia,17.5
2018,New Jersey,28.8
2018,Rhode Island,26.6
2018,Missouri,29.8
2018,Maryland,30.8
2018,Idaho,23.1
2018,Arizona,30.4
2018,Rhode Island,34.1
2018,Texas,54.1
2018,Illinois,36.7
2018,Massachusetts,30.3
2018,New York,31.0
2018,Georgia,12.2
2018,Kentucky,33.2
2018,Nevada,33.6
2018,New York,27.9
2018,North Carolina,29.4
2018,New Jersey,36.3
2018,Kentucky,37.8
2018,Arizona,35.1
2018,Rhode Island,26.9
2018,Massachusetts,27.5
2018,North Dakota,29.2
2018,Arizona,31.7
2018,Massachusetts,29.4
2018,New York,31.4
2018,North Dakota,38.1
2018,Washington,31.4
2018,Maryland,30.9
2018,South Dakota,32.0
2018,Guam,21.8
2018,Vermont,28.0
2018,Ohio,36.5
2018,Nebraska,43.2
2018,Utah,24.1
2018,New Hampshire,27.1
2018,Mississippi,46.3
2018,Puerto Rico,18.8
2018,Montana,11.6
2018,California,20.9
2018,Kansas,41.7
2018,Hawaii,21.8
2018,Indiana,33.3
2018,Connecticut,24.2
2018,Georgia,36.9
2018,Washington,26.7
2018,Alaska,26.9
2018,Illinois,35.7
2018,New Mexico,28.9
2018,Virginia,30.4
2018,Alabama,36.6
2018,Vermont,19.3
2018,Indiana,33.3
2018,South Dakota,28.3
2018,Hawaii,26.8
2020,Maryland,30.9
2018,West Virginia,40.8
