,state,average_percent_obese,increase_per_year,index
0,Guam,31.171,0.7134285714285002,0
1,District of Columbia,24.777506993006998,0.38799335664333107,1
2,Alabama,35.61317599067599,0.8324462703962366,2
3,Rhode Island,28.026785547785547,0.5900256410256199,3
4,Puerto Rico,30.820634920634923,0.8446825396825398,4
5,New York,26.4549296999297,0.41495382395381103,5
6,California,26.37922455322456,0.49184133644130884,6
7,Washington,28.41613756613756,0.3074951899951738,7
8,New Hampshire,28.295907773386034,0.6137561264821901,8
9,New Mexico,29.556093758093763,0.8805384615384401,9
10,New Jersey,26.89323717948718,0.39664334952795677,10
11,Hawaii,25.271984977984975,0.3439864283864211,11
12,South Dakota,32.157954545454544,0.8790909090908696,12
13,Oklahoma,34.46406993006993,0.8063272727272451,13
14,Mississippi,37.13622439813151,0.7342585938435454,14
15,Kansas,32.88247863247863,0.6882595182594993,15
16,Florida,27.015829181929178,0.34989252969250306,16
17,Louisiana,35.739496858214245,0.5456979122326734,17
18,Montana,27.32145454545454,0.6127878787878506,18
19,Georgia,30.68028438228438,0.5912917378917264,19
20,North Carolina,31.871562289562288,0.7892628852628567,20
21,Wyoming,28.9667355970775,0.5717134087914647,21
22,Colorado,22.944159544159547,0.4343667443667183,22
23,Virgin Islands,34.35434782608696,0.814782608695618,23
24,Kentucky,34.69052214452215,0.8004177156176799,24
25,North Dakota,33.072034255599476,0.6231673913043392,25
26,Texas,32.44057705257705,0.5868901320901027,26
27,Illinois,30.364939393939384,0.6967424242424034,27
28,Michigan,32.458284900284895,0.4471639989639748,28
29,Nevada,27.776423206423207,0.5291176379176268,29
30,Wisconsin,32.28082336182336,0.48363626003625854,30
31,Arizona,29.33619528619528,0.6244664594664473,31
32,Nebraska,32.09866614866615,0.7567119917119708,32
33,Iowa,32.998082345191044,0.7719636363636168,33
34,Massachusetts,25.36901061901062,0.32036482776481623,34
35,Minnesota,29.018622118622115,0.7439821289820931,35
36,Arkansas,35.65967832167832,0.5001580419580539,36
37,Ohio,32.5502849002849,0.756897176897146,37
38,Tennessee,33.78648571915568,0.5648746298497254,38
39,Virginia,30.168626262626262,0.5646197876197547,39
40,Oregon,28.653223776223772,0.3973047785547684,40
41,Connecticut,27.737723387723392,0.5484654234654031,41
42,Alaska,30.344889406889408,0.615519412069385,42
43,South Carolina,33.20966692566692,0.6879337477337174,43
44,Maryland,30.275187775187774,0.5773556073555882,44
45,Missouri,33.02502097902098,0.6697445221444984,45
46,Idaho,29.724115163492637,0.3236718469277656,46
47,Vermont,27.177680740208405,0.44130759372377243,47
48,Utah,26.75738513338513,0.6317499093498814,48
49,Indiana,33.341660709660715,0.5092707070706741,49
50,West Virginia,37.27936429512517,0.8180517127799555,50
51,Delaware,31.400733353602917,0.796651140164153,51
52,Pennsylvania,30.67623776223776,0.4701594405594278,52
53,Maine,29.963030303030294,0.4476151515151399,53
